"taxon","n_great","n_poor","median_delta_great","median_delta_poor","p","p_adj","disease"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",17,18,0.173433216651234,1.6275357804801,0.228327048798202,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",17,18,-0.786975660054086,-0.188344402718438,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",17,18,0.320907402803076,-0.554781245200522,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__",17,18,0.695631815029937,-0.114650399978954,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta",17,18,0.320907402803076,-0.235234032589143,0.241327727515937,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",17,18,-0.464299048940392,-0.124364049067334,0.254840955804296,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus",17,18,0.0333444234805529,-1.45971758515107,0.254840955804296,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",17,18,0.320907402803076,-0.235234032589143,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",17,18,0.0333444234805529,-0.419346139283419,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20",17,18,-0.344409297613635,0.458688896542105,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__",17,18,0.0333444234805529,-0.547870726537193,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__",17,18,0.320907402803076,-0.337305890931981,0.268871649924487,0.6304576618919,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__",17,18,-0.262946592355671,-0.626031418994761,0.283423766165221,0.653315799974069,"IBS"
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__",17,18,0.0333444234805529,-0.337305890931981,0.298500251473139,0.676600570005781,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__",17,18,1.66488952765462,-0.188344402718438,0.31410299672433,0.678063611976331,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus",17,18,-0.0459572601798612,-0.497506831740987,0.31410299672433,0.678063611976331,"IBS"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;__",17,18,0.0333444234805529,-0.337305890931981,0.31410299672433,0.678063611976331,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__",17,18,-0.560202340689297,0.177073662994764,0.330232792992423,0.690948613030301,"IBS"
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__",17,18,-0.262946592355671,-0.188344402718438,0.330232792992423,0.690948613030301,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",17,18,-0.344409297613635,-0.319011069466832,0.346889291161608,0.704133486536997,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__",17,18,0.317062499571837,-0.235234032589143,0.346889291161609,0.704133486536997,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",17,18,-0.0459572601798612,-0.549807319051888,0.364070965222887,0.707337875290181,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea",17,18,0.013866680918909,-0.497506831740987,0.364070965222887,0.707337875290181,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques",17,18,0.40064091030461,-0.166844891913483,0.364070965222887,0.707337875290181,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum",17,18,0.0333444234805529,-0.235234032589143,0.381775079578845,0.721130705871152,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__",17,18,0.320907402803076,-0.626031418994761,0.381775079578845,0.721130705871152,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__",17,18,-0.114313093152456,-0.0284274839437771,0.399997660666238,0.735130835819031,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__",17,18,0.40064091030461,-0.188344402718438,0.399997660666238,0.735130835819031,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__",17,18,0.0333444234805529,-0.144960798182812,0.418733473186816,0.739581199394895,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus",17,18,0.630632344556338,0.0210914138111297,0.418733473186816,0.739581199394895,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__",17,18,-0.464299048940392,-0.678331906305662,0.418733473186816,0.739581199394895,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__",17,18,-0.262946592355671,0.211933100273261,0.43797600121511,0.744559202065688,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__",17,18,-0.0459572601798612,-0.419346139283419,0.43797600121511,0.744559202065688,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__",17,18,0.320907402803076,-0.0472977268645304,0.43797600121511,0.744559202065688,"IBS"
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__",17,18,-0.464299048940392,-0.337305890931981,0.457717434427446,0.768513223236206,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena",17,18,0.013866680918909,-0.678331906305662,0.477948659669453,0.792695337988362,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae",17,18,-0.0459572601798612,0.0037618212298377,0.498659258049882,0.807353084461713,"IBS"
