"taxon","n_pairs","median_before","median_after","median_delta","p","p_adj","disease"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus",35,-1.61467093136179,-1.77305472616875,-0.0459572601798612,0.53907137178308,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__",35,2.66088599350813,1.91599569798345,-0.517799347044027,0.53907137178308,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__neonatale",35,-1.82360870602936,-1.84542500388749,-0.210228496449109,0.560930755391714,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta",35,-1.69514319127416,-1.47698096614049,0.0333444234805529,0.572019057068794,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__",35,-0.98607906611466,-0.94933934085745,0.122349852544612,0.572019057068794,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae",35,-1.85610191012082,-1.80899503099214,-0.123461287377858,0.583210460982233,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",35,-0.949021099269569,-1.30423427398631,-0.123461287377858,0.583210460982233,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__",35,5.33146790123245,5.42203043464826,-0.193257570589505,0.594502895974832,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__",35,-1.30087385333146,-1.45208051911267,-0.210228496449109,0.605894217747234,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",35,-1.69514319127416,-1.77305472616875,-0.0459572601798612,0.605894217747234,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae",35,-1.69514319127416,-1.47698096614049,-0.0459572601798612,0.605894217747234,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__",35,3.19300225131162,2.78570882383464,-0.114313093152456,0.617382209940722,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__",35,-1.80419261151277,-1.80899503099214,-0.210228496449109,0.617382209940722,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__",35,-0.98607906611466,-1.35742590255689,0.0444164914905651,0.640638986965107,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__",35,4.51698747424712,4.30570310853928,-0.0429714084667547,0.640638986965107,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii",35,4.46090159524674,4.37886645937227,0.0332603764763548,0.652402989741605,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__",35,3.56572705997672,3.89221119653409,0.320907402803076,0.652402989741605,0.957454516686378,"IBS"
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",35,-1.42628047150585,-1.64046783626816,-0.262946592355671,0.664254101597727,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__",35,-1.74147168181907,-1.71770869721642,-0.123461287377858,0.688207359197778,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__",35,-1.80419261151277,-1.71770869721642,-0.123461287377858,0.700304200519295,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__",35,-1.74147168181907,-1.80272297111971,-0.166460308987767,0.71247754549449,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;s__",35,-1.81498600288696,-1.80272297111971,-0.0459572601798612,0.71247754549449,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__",35,1.64040565134566,2.0131468559223,0.268216324655279,0.724724591992979,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",35,-0.496130599929995,-0.112823081217679,-0.344409297613635,0.724724591992979,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum",35,-1.80419261151277,-1.64046783626816,0.013866680918909,0.724724591992979,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__",35,3.87012600212886,3.6140363249336,-0.0918054827180486,0.737042481261089,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae",35,-0.766838094143677,1.45041186211684,-0.414372213134785,0.737042481261089,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__",35,-1.69514319127416,-1.64046783626816,-0.166460308987767,0.749428299893902,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",35,-1.82360870602936,-1.64046783626816,0.013866680918909,0.749428299893902,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__",35,-1.82360870602936,-1.77305472616875,-0.123461287377858,0.76187908187751,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__",35,-1.85610191012082,-1.80899503099214,-0.0459572601798612,0.76187908187751,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae",35,-1.25827701380645,-0.94933934085745,-0.0459572601798612,0.76187908187751,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__",35,-0.943053689422105,-0.727087946351331,-0.0459572601798612,0.774391810699125,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__",35,2.91869229308903,2.85224794910532,0.14611104516973,0.774391810699125,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum",35,-1.42628047150585,-1.64046783626816,-0.0459572601798612,0.774391810699125,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__",35,1.57788529436432,2.23024479781995,-0.521197893586273,0.774391810699125,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__",35,-1.30087385333146,-1.35742590255689,-0.260239568729178,0.774391810699125,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",35,-0.943053689422105,-0.727087946351331,-0.414372213134785,0.812270801703324,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__",35,-1.54604843863647,-1.47698096614049,0.013866680918909,0.812270801703324,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum",35,-1.74147168181907,-1.71770869721642,-0.0459572601798612,0.82500022021369,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__",35,-1.69514319127416,-1.64046783626816,-0.123461287377858,0.82500022021369,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__",35,-1.81498600288696,-1.77305472616875,-0.123461287377858,0.82500022021369,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__",35,-1.61467093136179,-1.64046783626816,-0.0459572601798612,0.83777582379774,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",35,3.42514510935553,3.35906278266811,-0.282138254036816,0.83777582379774,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__",35,3.92259448451079,3.84898775735815,-0.0736067271526388,0.850594340735835,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__",35,-1.69514319127416,-1.53519450731775,-0.0116321640747645,0.850594340735835,0.957454516686378,"IBS"
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__",35,-1.69514319127416,-1.71770869721642,-0.210228496449109,0.850594340735835,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae",35,-1.81498600288696,-1.80899503099214,0.013866680918909,0.850594340735835,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__",35,-1.69514319127416,-1.64046783626816,-0.123461287377858,0.850594340735835,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans",35,2.54583914643766,2.72898001619886,-0.252037206617305,0.863452465258267,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis",35,2.8087380378883,1.66038571175269,0.0551138552259793,0.876346860099868,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius",35,-1.81498600288696,-1.80899503099214,0.013866680918909,0.876346860099868,0.957454516686378,"IBS"
