ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err,_row
mmu03460,Fanconi anemia pathway,49,-0.6455,-2.0986,0.0000045695,0.0001,0.0001,1978,"tags=43%, list=15%, signal=37%",17350/233826/18861/272158/101831/114714/12144/80905/68275/15205/208836/19891/67196/14087/12189/237211/268465/211651/19361/237911/223970,0.6105,mmu03460
mmu04620,Toll-like receptor signaling pathway,82,0.635,2.0929,0.0000023987,0.0001,0.0001,1524,"tags=27%, list=11%, signal=24%",20302/20303/16193/16160/21939/15945/20304/26410/12475/21898/17087/13038/54123/16151/56489/24088/15976/20750/20847/142980/16476/16391,0.6273,mmu04620
mmu05323,Rheumatoid arthritis,58,0.6827,2.0897,0.0000022703,0.0001,0.0001,1375,"tags=41%, list=10%, signal=37%",20302/16193/17392/16175/14825/12981/242341/20311/16414/15978/20304/20296/21898/20315/69583/22339/13038/12487/21687/13039/24088/16408/21943/11966,0.6273,mmu05323
mmu05140,Leishmaniasis,55,0.6703,2.0755,0.0000057125,0.0001,0.0001,304,"tags=18%, list=2%, signal=18%",18126/16175/16160/13058/16414/15978/19225/14131/21898/18751,0.6105,mmu05140
mmu05164,Influenza A,116,0.5961,2.0661,1.234e-7,0.0000050872,0.0000046386,1540,"tags=23%, list=12%, signal=21%",103964/16193/16175/22072/100503895/16160/23961/15978/15945/20304/17857/20296/21898/18751/58185/77125/17858/12702/54123/100037258/16151/56489/15976/20847/142980/16391/16452,0.6901,mmu05164
mmu03410,Base excision repair,41,-0.6706,-2.0606,0.0000095085,0.0002,0.0001,1718,"tags=44%, list=13%, signal=38%",11792/18538/19718/18974/59001/70603/18972/106344/15289/18971/17193/22256/69263/14156/16881/72151/18973/234258,0.5933,mmu03410
mmu05171,Coronavirus disease,178,0.561,2.0538,3.1579e-8,0.00000203,0.000001851,1524,"tags=20%, list=11%, signal=18%",16193/17392/16160/12981/23961/13058/74145/20344/15945/17857/14131/20296/21898/18751/317677/22371/667277/50908/17858/14962/50909/17174/17175/12268/16194/16151/56489/24088/100038882/12266/15976/20847/142980/11491/16476/16391,0.7195,mmu05171
mmu03440,Homologous recombination,37,-0.654,-2.0154,0.0001,0.0009,0.0008,1457,"tags=43%, list=11%, signal=39%",18972/57434/114714/235559/18971/19363/12144/68275/623474/19891/12021/12189/19366/268465/19361/237911,0.5384,mmu03440
mmu04060,Cytokine-cytokine receptor interaction,158,0.5554,2.0109,6.2189e-7,0,0,673,"tags=23%, list=5%, signal=23%",20302/20303/16193/16165/16175/21942/20307/12983/12768/14825/16160/12981/20311/21939/15978/15945/20304/240873/20306/57349/20292/20296/215274/16992/329244/20315/21812/12984/18414/16180/23886/69583/77125/17082/12778/16164/16847,0.6594,mmu04060
mmu05146,Amoebiasis,86,0.5867,1.9786,0.0001,0.0007,0.0006,1266,"tags=29%, list=9%, signal=26%",18126/16193/14825/16160/12981/20706/16414/11846/15978/20710/12475/21898/18751/20707/93806/11847/18795/14675/20723/20708/16775/20709/20726/24088/12479,0.5573,mmu05146
mmu03430,Mismatch repair,22,-0.7268,-1.9721,0.0001,0.0013,0.0012,2054,"tags=64%, list=15%, signal=54%",17688/17350/18861/18538/19718/18972/106344/18971/68275/19891/69263/16881/72151/26909,0.5188,mmu03430
mmu05143,African trypanosomiasis,22,0.7842,1.9721,0.0001,0.0009,0.0008,660,"tags=32%, list=5%, signal=30%",16644/385643/16193/16160/15978/18751/18795,0.5384,mmu05143
mmu04621,NOD-like receptor signaling pathway,133,0.5559,1.9463,0.0000029598,0.0001,0.0001,2276,"tags=32%, list=17%, signal=26%",16193/14825/23961/13058/12796/20304/20296/21898/12363/13030/229898/59027/18795/56338/18439/14468/16439/17951/54123/16151/56489/69538/71914/54396/229900/15976/20847/16440/15951/16476/16391/11796/58800/67443/12043/19766/67526/12675/22034/14469/17948/57436,0.6273,mmu04621
mmu05332,Graft-versus-host disease,19,0.7873,1.942,0.0003,0.0026,0.0023,778,"tags=32%, list=6%, signal=30%",16193/16175/15007/15978/240095/12487,0.4985,mmu05332
mmu05417,Lipid and atherosclerosis,165,0.5307,1.9316,9.1371e-7,0,0,1540,"tags=20%, list=12%, signal=18%",20302/16193/17392/14825/16160/13058/21939/13198/20344/20304/12475/22359/20296/21898/20656/14828/22027/17087/18795/11303/11911/54123/57257/16151/56489/18127/24088/19878/226641/13110/18024/16476/16452,0.6594,mmu05417
mmu04940,Type I diabetes mellitus,27,0.7203,1.9243,0.0004,0.0032,0.0029,1527,"tags=37%, list=11%, signal=33%",16175/15007/16160/15978/16992/240095/12487/16334/15040/12876,0.4985,mmu04940
mmu05134,Legionellosis,50,0.6208,1.8907,0.0005,0.0038,0.0035,1268,"tags=20%, list=10%, signal=18%",16193/14825/16160/16414/12475/21898/12176/17951/24088/12266,0.4985,mmu05134
mmu05330,Allograft rejection,19,0.766,1.8893,0.0007,0.0048,0.0044,778,"tags=32%, list=6%, signal=30%",15007/16160/21939/15978/240095/12487,0.4773,mmu05330
mmu04142,Lysosome biogenesis,214,0.507,1.876,0.0000010562,0,0,2614,"tags=40%, list=20%, signal=33%",242341/11605/19025/12514/13030/13038/18145/15586/94178/11777/211286/12751/17342/27419/320528/52187/235504/16784/15212/26889/13039/231855/11886/56464/75612/14420/13033/18010/235380/27029/18711/271564/11966/432486/18173/142980/100561/26373/109685/353047/19156/246049/240283/71279/56325/214585/211978/16783/11883/114143/104082/12752/15211/27426/11305/52120/56722/74008/19141/14667/110173/18174/214505/13423/14387/66144/54411/30930/64291/83429/68724/15932/215335/54170/11964/381201/66237/17939/66335/66848/11432/14628/16004/11593/67963/16889,0.6436,mmu04142
mmu04114,Oocyte meiosis,100,-0.5125,-1.8755,0,0.0005,0.0004,2226,"tags=29%, list=17%, signal=24%",69010/19045/21770/22630/66440/17120/18747/12566/75430/11513/12235/67141/12534/12447/56150/12532/18817/12448/20878/30939/268697/105988/268930/16000/107995/432530/12442/12323/11514,0.5573,mmu04114
mmu05152,Tuberculosis,129,0.5302,1.8723,0,0.0003,0.0003,1277,"tags=18%, list=10%, signal=16%",56619/18126/16193/16175/16160/242341/16414/12796/15978/14131/12475/21898/12608/14127/12795/216238/13115/16784/20698/12611/24088/12266/13033,0.5756,mmu05152
mmu04066,HIF-1 signaling pathway,97,0.5529,1.8668,0.0001,0.0009,0.0008,2188,"tags=36%, list=16%, signal=30%",18126/16193/13058/15978/15368/13807/15277/21898/20525/18751/353204/13819/11676/22339/170768/21687/112407/13685/16194/15251/228026/18127/16337/18641/16334/112405/13614/18708/12043/26395/13649/20848/16001/56421/328572,0.5384,mmu04066
mmu00480,Glutathione metabolism,51,0.62,1.8658,0.0003,0.0028,0.0026,905,"tags=24%, list=7%, signal=22%",14857/14858/14859/69065/56615/14860/16790/211666/14630/110208/14778/14862,0.4985,mmu00480
mmu05414,Dilated cardiomyopathy,83,-0.5282,-1.8476,0.0001,0.0008,0.0007,1816,"tags=37%, list=14%, signal=32%",109700/24053/54378/18747/326618/16400/21924/11554/11513/22004/11461/16905/12292/319480/21956/11465/16772/22003/21809/21808/11464/12391/17888/241226/16000/140781/432530/56808/17906/104099/11514,0.5384,mmu05414
mmu04071,Sphingolipid signaling pathway,112,0.5348,1.8443,0.0001,0.0009,0.0008,2114,"tags=25%, list=16%, signal=21%",16644/385643/94226/18751/18762/12062/14127/18795/19877/18754/230379/20698/81535/18127/11886/74442/13033/19878/13609/20397/20773/76893/18708/12043/26395/14360/14389/67260,0.5384,mmu04071
mmu00980,Metabolism of xenobiotics by cytochrome P450,42,0.6371,1.8428,0.0011,0.0072,0.0066,1528,"tags=40%, list=11%, signal=36%",14857/14858/14859/13107/56615/14860/394432/211666/15483/394435/71755/13849/14862/11522/11529/14870/11670,0.4551,mmu00980
mmu00982,Drug metabolism - cytochrome P450,39,0.6465,1.8388,0.0006,0.0048,0.0044,2010,"tags=51%, list=15%, signal=44%",14857/14858/14859/56615/14860/394432/211666/394435/14862/55990/11522/17161/109731/11529/14263/14870/11670/94284/68214/14261,0.4773,mmu00982
mmu03040,Spliceosome,134,-0.4828,-1.8356,0,0.0003,0.0003,4771,"tags=66%, list=36%, signal=43%",56215/70052/192160/60321/76938/20637/20227/74351/209416/13204/57905/64340/70767/15481/28035/192159/75062/22185/101943/27967/215051/76522/56070/17149/72654/76936/209003/66492/53317/56031/233073/76793/20624/231889/23983/66055/54633/68011/20222/68092/28000/66642/57317/67959/20638/230596/229279/67332/433702/101214/15382/60365/68479/107701/22668/68988/225027/15387/192170/66101/386612/73666/67465/107686/66373/108014/15381/110809/20462/108121/50783/66094/20643/66585/20630/20383/20641/53607/67678/53817/68981/233908/20382/21681/68816/27756/19655/78651,0.5756,mmu03040
mmu04914,Progesterone-mediated oocyte maturation,80,-0.5148,-1.8257,0.0001,0.0009,0.0008,2226,"tags=31%, list=17%, signal=26%",69010/18710/66440/56371/17120/18747/12566/18707/75430/11513/12531/12235/12534/56150/12532/18817/20878/110033/268697/268930/12428/16000/432530/12442/11514,0.5384,mmu04914
mmu04216,Ferroptosis,37,0.6282,1.8225,0.0013,0.0084,0.0076,2383,"tags=43%, list=18%, signal=36%",13058/15368/17254/12870/14630/213053/14325/20229/67547/68428/67443/18174/14081/26570/14629/50790,0.4551,mmu04216
mmu05418,Fluid shear stress and atherosclerosis,125,0.514,1.8057,0.0001,0.0013,0.0012,1997,"tags=26%, list=15%, signal=23%",14857/14858/16175/14859/21824/15978/56615/14860/15368/20296/211666/18104/18762/22339/22027/16416/14862/19252/16598/16151/13039/18127/18412/14870/18024/16476/12168/13614/11480/18708/12043/68214/16177,0.5188,mmu05418
