"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Aldh3b1",1917.98180436408,-0.0161150117658165,0.0316052993656797,0.00991144684301316,0.491512090480114
"Casp6",899.388989977918,-0.0737738435617548,0.130633180654954,0.0098759771417727,0.491512090480114
"Ctxn1",286.265933338306,-0.0128411425875838,0.0287000318243255,0.00970305823176393,0.491512090480114
"Ddah2",2943.3340178584,-0.0389107863987138,0.0969154830892415,0.00994203984805429,0.491512090480114
"Hoxa3",99.652213115284,0.00981938221525654,0.0266318537643862,0.00978776846446159,0.491512090480114
"Krt80",776.895825344212,-0.00587499520312899,0.0248161778310644,0.00993949207819549,0.491512090480114
"Ly6d",35.7504395619751,0.00303715054996023,0.0240927065845313,0.00977285925031081,0.491512090480114
"Mir3064",197.98198710274,0.00597447013828201,0.0248506661554104,0.00976482943677053,0.491512090480114
"Tspan15",1071.54655918055,-0.00784724821085907,0.0256021121853685,0.00986574476078487,0.491512090480114
"4930447F24Rik",112.1829027598,-0.00548173385032644,0.0246862454877645,0.0100004466986093,0.49242199543952
"Loxl2",1679.74267474524,-0.0149319858516223,0.0305131707838498,0.0101185921867244,0.494859750193801
"Lrrc16a",844.9816181337,0.0279327122459662,0.0526904539825294,0.0101303539438536,0.494859750193801
"6820431F20Rik",220.930325688998,0.00868373744622597,0.0260011451047828,0.0104252915272804,0.50074449447781
"Csnk1g2",5647.44614995341,-0.0710791599764186,0.0633401894875598,0.0104271652353945,0.50074449447781
"Ndrg1",7496.99745699889,-0.00814441492539195,0.0257377362949418,0.0104033623234738,0.50074449447781
"Nkd2",1598.14990335625,0.0244967473052318,0.0443323062924305,0.0104542108107878,0.50074449447781
"Ube2d1",3021.58622664455,-0.0803983527400401,0.0917725865663967,0.0103809280763748,0.50074449447781
"Cpt1a",8617.95514279048,0.0117097378539251,0.0278542208793773,0.0105141236133858,0.501662254576662
"Adam1a",66.5156216420172,0.00796596772127618,0.025651698827108,0.0108339500008485,0.506075457165758
"Cox17",829.355355125785,-0.0228464063049635,0.0408416409477612,0.0112163841454707,0.506075457165758
"Cutc",173.599172185396,-0.0119318897397489,0.0280083769310954,0.0111119449588783,0.506075457165758
"Cx3cl1",2794.60315911202,0.020969840497986,0.0379277218743873,0.0109768609170072,0.506075457165758
"Ddhd2",1447.53954168844,0.0716995416783948,0.107115525171842,0.0110844264223836,0.506075457165758
"Dhcr24",4530.70985577947,-0.0209304734332095,0.0379175334269738,0.0111431676837085,0.506075457165758
