"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis","Group",0.0232229143013158,0.456562464703365,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",3.20821114369501,1.68176909376838
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__","Group",0.133177608341822,0.746838247966713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.236363636363636,-2.08091999538357
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__","Group",0.596420471262656,0.95427275402025,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.47148288973384,-1.08472267890543
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena","Group",0.556076863046577,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.951557093425606,-0.0716378740886568
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__","Group",0.0406401979943725,0.541869306591633,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.99183673469388,1.58103144913124
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__","Group",0.449241937453866,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.27272727272727,0.347923303420307
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__","Group",0.908244324577724,0.990641952146713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.989807474518686,-0.0147801581478676
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__","Group",0.299597351666794,0.876870297561349,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.49754573850959,0.58260006692943
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__","Group",0.54606803122249,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.35615079365079,0.439517604106144
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum","Group",0.760107431752081,0.972401090227743,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.730438460453969,-0.453165364004728
